,0
80,"Gossypium sturtianum, or Sturt's desert rose, is a woody shrub, closely related to cultivated cotton, found in most mainland states of Australia and the Northern Territory. It is also known as the Darling River rose, cotton rosebush and Australian cotton.
The plant has a life span of about 10 years, growing from 1–2 m tall and 1–2 m wide. The flowers are up to 12 cm in diameter: they can be seen for most of the year but peak in late winter. The colour of the petals ranges from pale pink to dark purple to maroon. The five petals are arranged in a whorl and have a dark red centre. The leaves are different shades of green, round and strongly scented when crushed."
81,"Robert O'Shea ""Shea"" Salinas (born June 24, 1986) is an American former professional soccer player who played as a winger.

"
82,"Pedro Erquicia López de Montenegro (24 March 1943 – 20 April 2018) was a Spanish journalist and news anchor.
He joined Televisión Española in July 1965 where he developed most of his television career. The first television program that he presented was Panorama de Actualidad from 1968 until 1970 and TVE's newscast Telediario (1972–1973).
In 1973 Erquicia created one of the longest running programs in Spanish television: Informe Semanal, which resumes the news and affairs of the last seven days (Based upon CBS's 60 Minutes). He directed it until 1978 and anchored it from 1976 until 1978. It was at that time when he had to cover the attempted coup d'état perpetrated on 23 February 1981 and record the message to the Nation of King Juan Carlos I.
In 1987 he was fired by TVE and later he joined the then recently created public broadcaster Telemadrid.
In 1990 Erquicia returned to TVE when he was hired to direct and anchor Documentos TV and from 1996 until 2007 he was in charge of the Direction of Programs of Current Affairs and Investigation.
In April 2008 Erquicia reached retirement. He died on 20 April 2018 in Madrid, after suffering a long illness."
83,"Lee James Brown (born 10 August 1990) is an English professional footballer who plays as a left-back for League One club AFC Wimbledon.
Brown formerly played for Queens Park Rangers, Salisbury City, Hayes & Yeading United and Bristol Rovers, spending seven seasons with the latter club and amassing 321 appearances before joining Portsmouth and then AFC Wimbledon.
He has played for the England C national team."
84,"""My Old Piano"" is a song by American R&B singer Diana Ross. It was written and produced by Chic members Nile Rodgers and Bernard Edwards for her self-titled tenth studio album (1980). In it, Ross sings about the joy of playing a piano, describing it as if it were a person. The song was released as the album's third and final single in the United States, and the second single elsewhere. In an accompanying music video, Ross appears performing the song in an apartment with an old piano.Unlike previous singles ""Upside Down"" and ""I'm Coming Out"", ""My Old Piano"" was not as successful in the United States (as it was issued as a single nearly two years after the album's release, by which time Ross had departed Motown Records); however, it was a commercial success in Europe, particularly in the United Kingdom, where it was a Top 10 hit and earned her a British Phonographic Industry (BPI) silver disc award for sales in excess of 250,000 copies."
85,Janet Stephanie Francis (born 5 August 1947) is an English actress.  She appeared as Penny Warrender in the 1980s romantic comedy Just Good Friends.
86,"Celebrate Freedom Week is an official holiday celebrated by five U.S. states. Celebrate Freedom Week is a week designed to emphasize the teaching of the country's origins with an emphasis on the founding documents. The curriculum is taught to children of various age groups, dependent on which state it's being taught in, from kindergarten through the 12th grade. As of September 2013, the fives states that officially celebrate this holiday are Arkansas, Florida, Kansas, Oklahoma and Texas. Even though several states have made this an official holiday, there isn't a set week among the states when to celebrate it or how. Kansas and Texas both celebrate the week containing September 17, the date the U.S. Constitution was signed. Oklahoma celebrates the holiday the week containing November 11, Veterans Day, while Florida and Arkansas celebrate it the last full week of September.Kansas passed the law to make it an official holiday week and became effective on July 1, 2013. Arkansas passed House Bill 2756 and made it official as Act 682 on March 26, 2003. Florida made it law in 2002 (statute 1003.421). Texas made the law effective in 2001 and then modified the law December 7, 2003."
87,"School Union 113, or East Millinocket Schools, is a school district headquartered in East Millinocket, Maine. It serves East Millinocket, Medway, and Woodville. There are three schools: Opal Myrick Elementary School, Medway Middle School, and Schenck High School. Since 2011 Schenck and Myrick have shared the same campus in East Millinocket, with Myrick moving from a previous standalone campus. The middle school is in Medway.The first female superintendent was Sandra MacArthur. In March 2003 she resigned effective June 30 so she could become the superintendent of Maine School Administrative District 59."
88,"The Pleurothallidinae are a neotropical subtribe of plants of the orchid family (Orchidaceae) including 29 genera in more than 4000 species.
Naturally occurring species of this subtribe are among the more popular orchids of horticulturalists, especially the genera Dracula, Dryadella, Masdevallia and Restrepia.
The following genera are considered monophyletic : Barbosella (including Barbrodia), Dracula, Dresslerella, Dryadella, Lepanthes, Masdevallia, Platystele, Porroglossum, Restrepia, Scaphosepalum, Trisetella, and Zootrophion.
Many genera in the Pleurothallidinae were found polyphyletic, for example species attributed to the genus Pleurothallis are scattered across five clades."
89,"The 2019 Russian Super Cup (Russian: Суперкубок России) was the 17th annual Russian Super Cup match which was contested between the 2018–19 Russian Premier League champion, Zenit Saint Petersburg, and the 2018–19 Russian Cup winner, Lokomotiv Moscow. The final was played at VTB Arena."
90,"Victory Monument (Thai: อนุสาวรีย์ชัยสมรภูมิ, RTGS: Anusawari Chai Samoraphum) is a military monument in Bangkok, Thailand. The monument was erected in June 1941 to commemorate the Thai victory in the Franco-Thai War. The monument is in Ratchathewi District, northeast of central Bangkok, at the center of a traffic circle in the intersection of Phahonyothin, Phaya Thai and Ratchawithi roads."
91,"Panorama FM is an Arabic language music Radio Channel broadcast by the Middle East Broadcasting Center.

"
